code,jump,revolutions,rotations_actual,base_value,goe_step
1T,Toeloop,1,1.0,0.40,0.04
2T,Toeloop,2,2.0,1.30,0.13
3T,Toeloop,3,3.0,4.20,0.42
4T,Toeloop,4,4.0,9.50,0.95
1S,Salchow,1,1.0,0.40,0.04
2S,Salchow,2,2.0,1.30,0.13
3S,Salchow,3,3.0,4.30,0.43
4S,Salchow,4,4.0,9.70,0.97
1Lo,Loop,1,1.0,0.50,0.05
2Lo,Loop,2,2.0,1.70,0.17
3Lo,Loop,3,3.0,4.90,0.49
4Lo,Loop,4,4.0,10.50,1.05
1F,Flip,1,1.0,0.50,0.05
2F,Flip,2,2.0,1.80,0.18
3F,Flip,3,3.0,5.30,0.53
4F,Flip,4,4.0,11.00,1.10
1Lz,Lutz,1,1.0,0.60,0.06
2Lz,Lutz,2,2.0,2.10,0.21
3Lz,Lutz,3,3.0,5.90,0.59
4Lz,Lutz,4,4.0,11.50,1.15
1A,Axel,1,1.5,1.10,0.11
2A,Axel,2,2.5,3.30,0.33
3A,Axel,3,3.5,8.00,0.80
4A,Axel,4,4.5,12.50,1.25
