sin 0000000000000000 0000000000000000 0000000000000000
sin 8000000000000000 0000000000000000 8000000000000000
sin 7ff0000000000000 0000000000000000 7ff8000000000000
sin fff0000000000000 0000000000000000 7ff8000000000000
sin 7ff8000000000000 0000000000000000 7ff8000000000000
sin 0000000000000001 0000000000000000 0000000000000001
sin 8000000000000001 0000000000000000 8000000000000001
sin 7fefffffffffffff 0000000000000000 7ff8000000000000
sin ffefffffffffffff 0000000000000000 7ff8000000000000
sin 3fdfffffffffffff 0000000000000000 3fdeaee8744b05ef
sin bfdfffffffffffff 0000000000000000 bfdeaee8744b05ef
sin 3e3ffffff0000000 0000000000000000 3e3ffffff0000000
sin be40000008000000 0000000000000000 be40000008000000
sin 3e40000000000000 0000000000000000 3e40000000000000
sin be40000000000000 0000000000000000 be40000000000000
sin 3e40000008000000 0000000000000000 3e40000008000000
sin be3ffffff0000000 0000000000000000 be3ffffff0000000
sin 3fdbfffffffffffc 0000000000000000 3fdb1d8305321613
sin bfdc000000000004 0000000000000000 bfdb1d830532161a
sin 3fdc000000000000 0000000000000000 3fdb1d8305321617
sin bfdc000000000000 0000000000000000 bfdb1d8305321617
sin 3fdc000000000004 0000000000000000 3fdb1d830532161a
sin bfdbfffffffffffc 0000000000000000 bfdb1d8305321613
sin 3fdffffffffffffc 0000000000000000 3fdeaee8744b05ec
sin bfe0000000000002 0000000000000000 bfdeaee8744b05f3
sin 3fe0000000000000 0000000000000000 3fdeaee8744b05f0
sin bfe0000000000000 0000000000000000 bfdeaee8744b05f0
sin 3fe0000000000002 0000000000000000 3fdeaee8744b05f3
sin bfdffffffffffffc 0000000000000000 bfdeaee8744b05ec
sin 3fe5fffffffffffe 0000000000000000 3fe44eb381cf3869
sin bfe6000000000002 0000000000000000 bfe44eb381cf386c
sin 3fe6000000000000 0000000000000000 3fe44eb381cf386b
sin bfe6000000000000 0000000000000000 bfe44eb381cf386b
sin 3fe6000000000002 0000000000000000 3fe44eb381cf386c
sin bfe5fffffffffffe 0000000000000000 bfe44eb381cf3869
sin 3fe921fb54442d16 0000000000000000 3fe6a09e667f3bcb
sin bfe921fb54442d1a 0000000000000000 bfe6a09e667f3bce
sin 3fe921fb54442d18 0000000000000000 3fe6a09e667f3bcc
sin bfe921fb54442d18 0000000000000000 bfe6a09e667f3bcc
sin 3fe921fb54442d1a 0000000000000000 3fe6a09e667f3bce
sin bfe921fb54442d16 0000000000000000 bfe6a09e667f3bcb
sin 3fef333333333331 0000000000000000 3fea7c88ab908199
sin bfef333333333335 0000000000000000 bfea7c88ab90819c
sin 3fef333333333333 0000000000000000 3fea7c88ab90819b
sin bfef333333333333 0000000000000000 bfea7c88ab90819b
sin 3fef333333333335 0000000000000000 3fea7c88ab90819c
sin bfef333333333331 0000000000000000 bfea7c88ab908199
sin 3feffffffffffffe 0000000000000000 3feaed548f090ced
sin bff0000000000001 0000000000000000 bfeaed548f090cef
sin 3ff0000000000000 0000000000000000 3feaed548f090cee
sin bff0000000000000 0000000000000000 bfeaed548f090cee
sin 3ff0000000000001 0000000000000000 3feaed548f090cef
sin bfeffffffffffffe 0000000000000000 bfeaed548f090ced
sin 3ff2ffffffffffff 0000000000000000 3fedad902fa8ac86
sin bff3000000000001 0000000000000000 bfedad902fa8ac88
sin 3ff3000000000000 0000000000000000 3fedad902fa8ac87
sin bff3000000000000 0000000000000000 bfedad902fa8ac87
sin 3ff3000000000001 0000000000000000 3fedad902fa8ac88
sin bff2ffffffffffff 0000000000000000 bfedad902fa8ac86
sin 4003800000000000 0000000000000000 3fe4b707a7acdecc
sin c003800000000000 0000000000000000 bfe4b707a7acdecc
sin 4003800000000000 0000000000000000 3fe4b707a7acdecc
sin c003800000000000 0000000000000000 bfe4b707a7acdecc
sin 4003800000000000 0000000000000000 3fe4b707a7acdecc
sin c003800000000000 0000000000000000 bfe4b707a7acdecc
sin 4410000000000000 0000000000000000 c819d5e04f18891e
sin c410000000000000 0000000000000000 4819d5e04f18891e
sin 4410000000000000 0000000000000000 c819d5e04f18891e
sin c410000000000000 0000000000000000 4819d5e04f18891e
sin 4410000000000000 0000000000000000 c819d5e04f18891e
sin c410000000000000 0000000000000000 4819d5e04f18891e
sin 408d379f036a8000 0000000000000000 bfee491525b02346
sin 3fbc720e38000000 0000000000000000 3fbc63147a71a83e
sin c054804dc9cc0000 0000000000000000 bfd455c18b9e7202
sin 3fd389f3fa000000 0000000000000000 3fd33c9cf6ebf927
sin 4072b340423a0000 0000000000000000 bfe5db47a520e359
sin 3fe3e1e970000000 0000000000000000 3fe2a0af28e47619
sin c07132003bbd0000 0000000000000000 3fef1d80302d3bb5
sin bfe8ab9548000000 0000000000000000 bfe64c4bd3e6c911
